dataset,tissue,gene,ms_mean,ctl_mean,log2FC,ms_n,ctl_n,p_value
GSE126802,CNS,S100A8,2890.3007,2818.1114,0.0365,18,36,0.4766
GSE126802,CNS,S100A9,486.3996,481.9027,0.0134,18,36,0.5317
GSE126802,CNS,ALOX15B,170.1572,164.1,0.0523,18,36,0.2358
GSE38010,CNS,S100A8,64.4862,42.0867,0.6156,5,2,0.7589
GSE38010,CNS,S100A9,102.0419,66.9599,0.6078,5,2,0.7462
GSE38010,CNS,ALOX15B,35.6005,24.9111,0.5151,5,2,0.1626
GSE180759a,CNS,S100A8,0.384,0.2701,0.1139,12,2,0.7057
GSE180759a,CNS,S100A9,0.3985,0.3273,0.0712,12,2,0.7859
GSE180759a,CNS,ALOX15B,0.2747,0.2966,-0.0219,12,2,0.8995
GSE180759b,CNS,S100A8,0.0735,0.0004,0.0731,5,1,NA
GSE180759b,CNS,S100A9,0.1709,0.0052,0.1657,5,1,NA
GSE180759b,CNS,ALOX15B,0.136,0.0954,0.0406,5,1,NA
GSE32915,CNS,S100A8,101.2591,85.942,0.2366,12,4,0.181
GSE32915,CNS,S100A9,82.3733,81.7353,0.0112,12,4,0.8556
GSE32915,CNS,ALOX15B,1157.7008,1351.5391,-0.2233,12,4,0.7235
GSE100297,CNS,S100A8,0.3726,0.4376,-0.065,5,5,0.7782
GSE100297,CNS,S100A9,0.961,1.1774,-0.2164,5,5,0.7432
GSE100297,CNS,ALOX15B,0.4052,0.1418,0.2634,5,5,0.3137
GSE211358,blood,S100A8,0.0025,0.0131,-0.0107,5,19,0.1543
GSE211358,blood,S100A9,0.0153,0.0185,-0.0032,5,19,0.7786
GSE211358,blood,ALOX15B,0.0033,0.0032,0.0001,5,19,0.9418
GSE126427,blood,S100A8,1.1979,0.6837,0.5142,3,3,0.3749
GSE126427,blood,S100A9,2.2505,1.3601,0.8904,3,3,0.2036
GSE126427,blood,ALOX15B,0.2379,0.2076,0.0303,3,3,0.4773
GSE244313,blood,S100A8,0.0057,0.0022,0.0035,12,2,0.4136
GSE244313,blood,S100A9,0.1156,0.0132,0.1024,12,2,0.4351
GSE244313,blood,ALOX15B,0.006,0.0112,-0.0052,12,2,0.3812
